Free votes in the House of Commons since 1979													
Date	Debate	Hansard Ref	Division	Ayes	Noes	Session	Parliament			30/03/2022	"Health and Care Bill (Lords amendments)
Making permanent telemedicine for early medical abortion"		
10/07/1996	Parliamentary Pay and Allowances (t) (rate for pension purposes)	281 cc488-543	Div 192	302	123	1995-96	1992						
10/07/1996	Parliamentary Pay and Allowances: (u) to implement the SSRB Report	281 cc488-543	Div 193	279	154	1995-96	1992						
10/07/1996	Ministerial salaries and other salaries	281 cc488-543	Div 194	253	49	1995-96	1992						
10/07/1996	Car mileage allowance (reduction)	281 cc488-543	Div 195	376	39	1995-96	1992						
10/07/1996	Office costs allowance (r) (increase brought forward)	281 cc488-543	Div 196	215	189	1995-96	1992						
28/11/1997	"Wild Mammals (Hunting with Dogs) Bill
(Second Reading)
"	301 c1199-271	Div 100	411	151	1997-98	1997						
22/06/1998	"Crime and Disorder Bill (HL) (Report Stage)
Reduction in age at which certain sexual acts are lawful
"	314 c754-811	Div 311	336	129	1997-98	1997						
22/06/1998	"Crime and Disorder Bill (HL) (Report Stage)
Reduction in age at which certain sexual acts are lawful
"	314 c754-811	Div 312	194	234	1997-98	1997						
25/01/1999	"Sexual Offences (Amendment) Bill (Second Reading)
"	324 c20-209	Div 46	313	130	1998-99	1997						
28/01/2000	"Medical Treatment (Prevention of Euthanasia) Bill
(Second Reading)
"	343 c686-751	Div 54	113	2	1999-2000	1997						
10/02/2000	"Sexual Offences (Amendment) Bill (Second Reading)
"	344 c432-500	Div 71	263	102	1999-2000	1997						
28/02/2000	"Sexual Offences (Amendment) Bill (Third Reading)
"	345 c127-30	Div 90	317	117	1999-2000	1997						
14/04/2000	"Medical Treatment (Prevention of Euthanasia) Bill (Report Stage) Consent of the Director of Public Prosecutions
(Not decided in Affirmative; insufficient majority)"	348 c603-66	Div 168	96	10	1999-2000	1997						
31/10/2000	"Stem Cell Research (Motion to bring in a Bill)
"	355 c626-31	Div 315	83	175	1999-2000	1997						
19/12/2000	"Draft Human Fertilisation and Embryology (Research Purposes) Regulations (Motion to approve)
"	360 c211-66	Div 12	366	174	2000-01	1997						
20/12/2000	"Hunting Bill (Second Reading)
"	360 c379-467	Div 28	373	158	2000-01	1997						
17/01/2001	"Hunting Bill (Committee of Whole House)
Hunting with dogs: supervision
"	361 c354-474	Div 60	155	399	2000-01	1997						
17/01/2001	"Hunting Bill (Committee of Whole House)
Hunting with dogs: regulation
"	361 c354-474	Div 61	182	382	2000-01	1997						
17/01/2001	"Hunting Bill (Committee of Whole House)
Hunting with dogs: prohibition
"	361 c354-474	Div 62	387	174	2000-01	1997						
17/01/2001	"Hunting Bill (Committee of Whole House)
Commencement
"	361 c354-474	Div 63	37	374	2000-01	1997						
17/01/2001	"Hunting Bill (Committee of Whole House)
Commencement
"	361 c354-474	Div 64	68	346	2000-01	1997						
17/01/2001	"Hunting Bill (Committee of Whole House)
Commencement
"	361 c354-474	Div 65	365	36	2000-01	1997						
22/03/2001	"Election of a Speaker
Motion that new Standing Order Election of Speaker by secret ballot be made

"	365 c498-541	Div 165	82	84	2000-01	1997						
05/07/2001	"Members' Allowances, Insurance &c.

"	371 c421-77	Div 11	229	117	2001-02	2001						
05/07/2001	"Members' Pay (Expression of Opinion)

"	371 c421-77	Div 12	66	260	2001-02	2001						
05/07/2001	"Members' Pay (Expression of Opinion)

"	371 c421-77	Div 13	276	42	2001-02	2001						
05/07/2001	"Parliamentary Pensions 
"	371 c421-77	Div 14	215	172	2001-02	2001						
05/07/2001	"Parliamentary Pensions
"	371 c421-77	Div 15	289	33	2001-02	2001						
16/07/2001	"Foreign Affairs Committee: Membership
"	372 c35-90	Div 26	232	301	2001-02	2001						
16/07/2001	"Transport, Local Government and the Regions Committee: Membership
"	372 c35-90	Div 27	221	308	2001-02	2001						
16/07/2001	"Treasury Committee: Membership 
"	372 c35-90	Div 28	52	351	2001-02	2001						
19/07/2001	"International Development Committee: Membership 
"	372 c508-20	Div 37	304	55	2001-02	2001						
18/03/2002	"Hunting with Dogs: Supervision
"	382 c52-139	Div 197	154	401	2001-02	2001						
18/03/2002	"Hunting with Dogs: Hunting under Licence
"	382 c52-139	Div 198	169	371	2001-02	2001						
18/03/2002	"Hunting with Dogs: Ban
"	382 c52-139	Div 199	386	175	2001-02	2001						
14/05/2002	"Modernisation of the House of Commons
(Motion to approve) First Report of Select Committee on Modernisation… relating to Select Committees
"	385 c648-730	Div 236	50	352	2001-02	2001						
14/05/2002	"Select Committees
Motion to create a Committee of Nomination
"	385 c648-730	Div 237 	195	209	2001-02	2001						
14/05/2002	"Payment for Chairmen
"	385 c648-730	Div 238	175	197	2001-02	2001						
14/05/2002	"Payment for Chairmen
"	385 c648-730	Div 239 	199	158	2001-02	2001						
14/05/2002	"Liaison Committee: Power to take Evidence
"	385 c648-730	Div 240 	78	261	2001-02	2001						
29/10/2002	"Modernisation of the House of Commons
(Motion to approve) Second Report of Select Committee on Modernisation - Amendment negatived
"	391 c689-843	Div 332 	150	394	2001-02	2001						
29/10/2002	"Modernisation of the House of Commons
(Motion to approve) Second Report of Select Committee on Modernisation - Amendment negatived
"	391 c689-843	Div 333	94	441	2001-02	2001						
29/10/2002	"Modernisation of the House of Commons
(Motion to approve) Second Report of Select Committee on modernisation - Main question agreed to
"	391 c689-843	Div 334	411	47	2001-02	2001						
29/10/2002	"Parliamentary Questions
"	391 c689-843	Div 335	144	386	2001-02	2001						
29/10/2002	"Parliamentary Questions
"	391 c689-843	Div 336	256	283	2001-02	2001						
29/10/2002	"New provision for earlier sittings on Wednesdays, and for Thursdays and Fridays
"	391 c689-843	Div 337	265	288	2001-02	2001						
29/10/2002	"New provision for earlier sittings on Wednesdays, and for Thursdays and Fridays
"	391 c689-843	Div 338	311	234	2001-02	2001	  					
29/10/2002	"New Provision for Earlier Sittings on Tuesdays
"	391 c689-843	Div 339	274	267	2001-02	2001						
29/10/2002	"Carry-over of Bills
"	391 c689-843	Div 340	365	147	2001-02	2001						
29/10/2002	"Deferred Divisions
"	391 c689-843	Div 341	313	153	2001-02	2001						
29/10/2002	"Programming
"	391 c689-843	Div 342	309	153	2001-02	2001						
16/12/2002	"Hunting Bill (Second Reading)
"	396 c570-663	Div 25	371	155	2002-03	2001						
16/12/2002	"Hunting Bill (Second Reading)
"	396 c570-663	Div 26	164	365	2002-03	2001						
16/12/2002	"Hunting Bill (Second Reading)
"	396 c570-663	Div 27	368	155	2002-03	2001						
16/12/2002	"Hunting Bill (Programme motion)
"	396 c570-663	Div 28	331	165	2002-03	2001						
16/12/2002	"Hunting Bill (Money resolution)
"	396 c570-663	Div 29	338	98	2002-03	2001						
04/02/2003	"House of Lords Reform (No. 1)
Option 1 (fully appointed)
"	399 c152-243	Div 75	172	390	2002-03	2001						
04/02/2003	"House of Lords Reform (No. 1)
Option 1 (fully appointed)
"	399 c152-243	Div 76	245	323	2002-03	2001						
04/02/2003	"House of Lords Reform (No. 2)
Option 2 (fully elected)
"	399 c152-243	Div 77	272	289	2002-03	2001						
04/02/2003	"House of Lords Reform (No. 4)
Option 4 (80 per cent. elected/20 per cent. appointed)
"	399 c152-243	Div 78	281	284	2002-03	2001						
04/02/2003	"House of Lords Reform (No. 6)
Option 6 (60% elected/40% appointed)
"	399 c152-243	Div 79	253	316	2002-03	2001						
10/03/2003	"Local Government Bill
Repeal of section 2A of Local Government Act 1986
"	401 c40-129	Div 108	127	356	2002-03	2001						
